id_cliente,churn,genero,idoso,parceiro,dependentes,tempo_contrato,servico_telefonico,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivos,suporte_tecnico,streaming_tv,streaming_filmes,contrato,fatura_online,metodo_pagamento,cobrança_mensal,cobrança_total,contas_diarias
0019-GFNTW,não,feminino,0,não,não,56,não,sem serviço telefônico,dsl,sim,sim,sim,sim,não,não,dois anos,não,transferência bancária (automática),45.05,2560.1,1.5
0020-INWCK,não,feminino,0,sim,sim,71,sim,sim,fibra ótica,não,sim,sim,não,não,sim,dois anos,sim,cartão de crédito (automático),95.75,6849.4,3.19
0020-JDNXP,não,feminino,0,sim,sim,34,não,sem serviço telefônico,dsl,sim,não,sim,sim,sim,sim,um ano,não,cheque postal,61.25,1993.2,2.04
0021-IKXGC,não,feminino,1,não,não,1,sim,sim,fibra ótica,não,não,não,não,não,não,mensal,sim,cheque eletrônico,72.1,72.1,2.4
0022-TCJCI,sim,masculino,1,não,não,45,sim,não,dsl,sim,não,sim,não,não,sim,um ano,não,cartão de crédito (automático),62.7,2791.5,2.09
0023-HGHWL,sim,masculino,1,não,não,1,não,sem serviço telefônico,dsl,não,não,não,não,não,não,mensal,sim,cheque eletrônico,25.1,25.1,0.84
0023-UYUPN,não,feminino,1,sim,não,50,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,cheque eletrônico,25.2,1306.3,0.84
0023-XUOPT,sim,feminino,0,sim,não,13,sim,sim,fibra ótica,não,sim,sim,não,sim,não,mensal,não,cheque eletrônico,94.1,1215.6,3.14
0027-KWYKW,não,feminino,0,sim,sim,23,sim,sim,fibra ótica,não,não,não,não,sim,não,mensal,sim,cheque eletrônico,83.75,1849.95,2.79
0030-FNXPP,não,feminino,0,não,não,3,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,19.85,57.2,0.66
0031-PVLZI,sim,feminino,0,sim,sim,4,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,20.35,76.35,0.68
0032-PGELS,sim,feminino,0,sim,sim,1,não,sem serviço telefônico,dsl,sim,não,não,não,não,não,mensal,não,transferência bancária (automática),30.5,30.5,1.02
0036-IHMOT,não,feminino,0,sim,sim,55,sim,não,fibra ótica,não,sim,sim,sim,sim,sim,um ano,sim,transferência bancária (automática),103.7,5656.75,3.46
0040-HALCW,não,masculino,0,sim,sim,54,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cartão de crédito (automático),20.4,1090.6,0.68
0042-JVWOJ,não,masculino,0,não,não,26,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,sim,transferência bancária (automática),19.6,471.85,0.65
0042-RLHYP,não,feminino,0,sim,sim,69,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,transferência bancária (automática),19.7,1396.9,0.66
0048-LUMLS,não,masculino,0,sim,sim,37,sim,não,fibra ótica,não,não,não,não,sim,sim,um ano,não,cartão de crédito (automático),91.2,3247.55,3.04
0048-PIHNL,não,feminino,0,sim,não,49,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,transferência bancária (automática),20.45,900.9,0.68
0052-DCKON,não,masculino,0,sim,não,66,sim,sim,fibra ótica,sim,sim,sim,sim,sim,sim,um ano,não,transferência bancária (automática),115.8,7942.15,3.86
0052-YNYOT,não,feminino,0,não,não,67,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,cheque eletrônico,20.55,1343.4,0.68
0056-EPFBG,não,masculino,0,sim,sim,20,não,sem serviço telefônico,dsl,sim,não,sim,sim,não,não,dois anos,sim,cartão de crédito (automático),39.4,825.4,1.31
0057-QBUQH,não,feminino,0,não,sim,43,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,sim,cheque eletrônico,25.1,1070.15,0.84
0058-EVZWM,não,feminino,0,sim,não,55,sim,sim,fibra ótica,sim,não,não,não,sim,não,mensal,sim,transferência bancária (automática),89.8,4959.6,2.99
0060-FUALY,não,feminino,0,sim,não,59,sim,sim,fibra ótica,sim,sim,não,não,sim,não,mensal,sim,cheque eletrônico,94.75,5597.65,3.16
0064-SUDOG,não,feminino,0,sim,sim,12,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,transferência bancária (automática),20.3,224.5,0.68
0064-YIJGF,não,masculino,0,sim,sim,27,sim,sim,fibra ótica,não,não,não,não,não,não,mensal,sim,transferência bancária (automática),75.75,1929.0,2.52
0067-DKWBL,sim,masculino,1,não,não,2,sim,não,dsl,sim,não,não,não,não,não,mensal,sim,cheque eletrônico,49.25,91.1,1.64
0068-FIGTF,não,feminino,0,não,não,27,sim,não,dsl,não,sim,sim,sim,sim,sim,um ano,não,cheque postal,78.2,2078.95,2.61
0071-NDAFP,não,masculino,0,sim,sim,25,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cartão de crédito (automático),25.5,630.6,0.85
0074-HDKDG,não,masculino,0,sim,sim,25,sim,não,dsl,sim,sim,sim,não,não,não,um ano,sim,transferência bancária (automática),61.6,1611.0,2.05
0076-LVEPS,não,masculino,0,não,sim,29,não,sem serviço telefônico,dsl,sim,sim,sim,sim,não,não,mensal,sim,cheque postal,45.0,1242.45,1.5
0078-XZMHT,não,masculino,0,sim,não,72,sim,sim,dsl,não,sim,sim,sim,sim,sim,dois anos,sim,transferência bancária (automática),85.15,6316.2,2.84
0080-EMYVY,não,feminino,0,não,não,14,sim,não,dsl,não,sim,não,não,não,não,um ano,não,cartão de crédito (automático),51.45,727.85,1.72
0080-OROZO,não,feminino,0,não,não,35,sim,não,fibra ótica,não,não,sim,sim,sim,sim,um ano,sim,cheque eletrônico,99.25,3532.0,3.31
0082-LDZUE,não,masculino,0,não,não,1,sim,não,dsl,não,não,não,não,não,não,mensal,sim,cheque postal,44.3,44.3,1.48
0082-OQIQY,não,masculino,0,não,não,29,sim,não,fibra ótica,não,não,não,sim,sim,sim,mensal,sim,cheque eletrônico,94.2,2607.6,3.14
0083-PIVIK,não,masculino,0,não,não,64,sim,sim,dsl,sim,sim,sim,sim,sim,não,um ano,não,cheque eletrônico,81.25,5567.55,2.71
0089-IIQKO,não,feminino,0,sim,sim,39,sim,sim,fibra ótica,não,não,não,sim,sim,sim,mensal,sim,cartão de crédito (automático),99.95,3767.4,3.33
0093-EXYQL,não,feminino,1,não,não,40,sim,não,fibra ótica,não,não,não,não,sim,sim,mensal,sim,cheque eletrônico,91.55,3673.6,3.05
0093-XWZFY,sim,masculino,0,não,não,40,sim,sim,fibra ótica,não,sim,sim,não,sim,sim,mensal,sim,cartão de crédito (automático),104.5,4036.85,3.48
0094-OIFMO,sim,feminino,1,não,não,11,sim,não,fibra ótica,não,sim,não,não,sim,sim,mensal,sim,cheque eletrônico,95.0,1120.3,3.17
0096-BXERS,não,feminino,0,sim,não,6,sim,sim,dsl,não,não,não,não,não,não,mensal,não,cheque eletrônico,50.35,314.55,1.68
0096-FCPUF,não,masculino,0,não,não,30,sim,sim,dsl,sim,não,não,não,não,sim,mensal,sim,cheque postal,64.5,1888.45,2.15
0098-BOWSO,não,masculino,0,não,não,27,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,cheque eletrônico,19.4,529.8,0.65
0100-DUVFC,não,masculino,1,sim,não,70,sim,sim,fibra ótica,não,sim,sim,não,sim,sim,um ano,sim,cheque eletrônico,104.8,7308.95,3.49
0103-CSITQ,não,feminino,0,sim,não,57,sim,sim,fibra ótica,não,sim,sim,sim,sim,sim,um ano,sim,transferência bancária (automática),109.4,6252.7,3.65
0104-PPXDV,não,masculino,0,sim,não,58,sim,não,dsl,não,não,sim,não,não,não,um ano,não,cartão de crédito (automático),50.3,2878.55,1.68
0106-GHRQR,não,masculino,0,não,não,16,sim,sim,dsl,não,sim,sim,não,não,sim,mensal,sim,transferência bancária (automática),71.4,1212.1,2.38
0106-UGRDO,não,feminino,0,sim,não,69,sim,sim,fibra ótica,sim,sim,sim,sim,sim,sim,dois anos,sim,cheque eletrônico,116.0,8182.85,3.87
0107-WESLM,sim,masculino,0,não,não,1,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,cheque eletrônico,19.85,19.85,0.66
0107-YHINA,sim,masculino,0,não,sim,1,sim,sim,fibra ótica,não,não,sim,não,sim,sim,mensal,sim,cheque eletrônico,99.75,99.75,3.32
0111-KLBQG,não,masculino,1,sim,sim,32,sim,não,fibra ótica,não,sim,não,não,sim,sim,mensal,sim,cheque postal,93.95,2861.45,3.13
0112-QAWRZ,não,masculino,0,sim,sim,16,sim,sim,fibra ótica,não,não,sim,não,sim,não,mensal,sim,transferência bancária (automática),90.8,1442.2,3.03
0112-QWPNC,sim,masculino,0,sim,não,49,sim,sim,dsl,sim,não,sim,sim,sim,sim,um ano,não,cheque eletrônico,84.35,4059.35,2.81
0114-IGABW,não,feminino,0,sim,não,71,não,sem serviço telefônico,dsl,não,sim,sim,sim,sim,sim,dois anos,não,transferência bancária (automática),58.25,4145.9,1.94
0114-PEGZZ,não,feminino,0,não,não,33,sim,sim,fibra ótica,não,sim,sim,não,sim,sim,mensal,não,cheque eletrônico,107.55,3645.5,3.58
0114-RSRRW,não,feminino,0,sim,não,10,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,transferência bancária (automática),19.95,187.75,0.66
0115-TFERT,sim,masculino,0,sim,não,21,sim,sim,fibra ótica,não,sim,sim,sim,sim,sim,mensal,sim,cheque eletrônico,111.2,2317.1,3.71
0117-LFRMW,sim,masculino,0,sim,sim,37,não,sem serviço telefônico,dsl,sim,sim,sim,não,não,não,mensal,não,transferência bancária (automática),40.2,1448.8,1.34
0118-JPNOY,não,feminino,1,não,não,26,sim,não,fibra ótica,sim,não,não,não,sim,não,mensal,sim,cartão de crédito (automático),85.8,2193.65,2.86
0121-SNYRK,não,masculino,0,não,não,50,não,sem serviço telefônico,dsl,sim,não,não,sim,não,não,um ano,sim,cheque postal,35.4,1748.9,1.18
0122-OAHPZ,sim,feminino,0,não,não,7,sim,sim,fibra ótica,não,não,não,não,não,não,mensal,sim,cheque eletrônico,73.85,511.25,2.46
0123-CRBRT,não,feminino,0,sim,sim,61,sim,sim,dsl,sim,sim,sim,sim,sim,sim,dois anos,não,cheque postal,88.1,5526.75,2.94
0125-LZQXK,sim,masculino,0,não,não,15,sim,não,fibra ótica,não,não,sim,sim,sim,sim,mensal,sim,cheque eletrônico,101.35,1553.95,3.38
0128-MKWSG,não,feminino,0,não,sim,26,não,sem serviço telefônico,dsl,sim,não,não,sim,não,sim,mensal,não,cheque postal,45.8,1147.0,1.53
0129-KPTWJ,não,masculino,0,sim,não,72,sim,não,fibra ótica,não,não,sim,não,sim,sim,mensal,sim,cheque eletrônico,94.65,6747.35,3.16
0129-QMPDR,não,masculino,0,sim,sim,44,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,sim,transferência bancária (automática),20.5,865.05,0.68
0130-SXOUN,não,masculino,0,não,não,66,sim,sim,fibra ótica,não,sim,não,não,não,sim,mensal,não,cartão de crédito (automático),89.4,5976.9,2.98
0133-BMFZO,sim,feminino,0,não,não,2,sim,não,fibra ótica,sim,sim,não,sim,não,não,mensal,sim,cheque eletrônico,86.25,181.65,2.88
0134-XWXCE,não,feminino,1,não,não,44,sim,não,dsl,não,não,sim,sim,sim,sim,um ano,não,transferência bancária (automática),74.85,3268.05,2.49
0135-NMXAP,sim,feminino,0,não,não,12,sim,sim,fibra ótica,não,sim,não,não,sim,não,mensal,sim,transferência bancária (automática),89.75,1052.4,2.99
0136-IFMYD,não,masculino,1,sim,não,69,sim,sim,fibra ótica,não,sim,sim,sim,sim,sim,dois anos,sim,cheque eletrônico,109.95,7634.25,3.66
0137-OCGAB,sim,feminino,0,não,não,1,sim,sim,fibra ótica,não,sim,não,não,não,não,mensal,sim,cheque postal,80.2,80.2,2.67
0137-UDEUO,sim,feminino,0,não,não,3,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,19.85,63.75,0.66
0139-IVFJG,não,feminino,0,sim,não,2,sim,não,fibra ótica,sim,sim,não,não,sim,não,mensal,não,cheque eletrônico,90.35,190.5,3.01
0141-YEAYS,não,feminino,1,não,não,27,sim,sim,fibra ótica,não,sim,sim,não,não,não,mensal,sim,transferência bancária (automática),86.45,2401.05,2.88
0142-GVYSN,não,masculino,0,não,não,26,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,cheque eletrônico,20.3,511.25,0.68
0147-ESWWR,não,feminino,1,sim,não,39,sim,sim,fibra ótica,não,não,não,sim,sim,sim,mensal,sim,cheque eletrônico,101.25,3949.15,3.38
0148-DCDOS,sim,masculino,0,não,não,25,sim,sim,fibra ótica,não,não,não,não,sim,sim,mensal,sim,transferência bancária (automática),94.7,2362.1,3.16
0151-ONTOV,sim,feminino,0,não,não,1,sim,não,fibra ótica,não,não,não,não,não,não,mensal,não,cheque postal,70.9,70.9,2.36
0156-FVPTA,sim,masculino,0,sim,não,22,sim,não,dsl,sim,não,não,sim,não,não,mensal,sim,cheque eletrônico,54.2,1152.7,1.81
0164-APGRB,não,feminino,0,não,não,72,sim,sim,fibra ótica,sim,sim,sim,sim,sim,sim,dois anos,sim,cheque eletrônico,114.9,8496.7,3.83
0164-XAIRP,não,feminino,0,não,não,24,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,sim,transferência bancária (automática),19.55,470.2,0.65
0168-XZKBB,não,feminino,0,sim,não,19,sim,sim,fibra ótica,não,não,não,não,sim,não,mensal,sim,cheque eletrônico,86.85,1564.4,2.9
0174-QRVVY,não,masculino,0,sim,sim,71,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cartão de crédito (automático),25.35,1847.55,0.85
0177-PXBAT,não,masculino,1,sim,não,33,sim,sim,fibra ótica,sim,não,sim,sim,sim,sim,mensal,sim,transferência bancária (automática),109.9,3694.7,3.66
0178-CIIKR,não,feminino,0,não,não,3,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,19.95,58.0,0.66
0178-SZBHO,não,masculino,0,sim,sim,47,sim,sim,fibra ótica,não,sim,não,não,sim,não,mensal,não,cheque eletrônico,87.2,4017.45,2.91
0181-RITDD,não,masculino,0,sim,sim,62,sim,não,fibra ótica,sim,sim,sim,sim,sim,sim,dois anos,não,cheque postal,108.15,6825.65,3.6
0186-CAERR,não,masculino,0,não,não,71,sim,sim,fibra ótica,sim,sim,sim,sim,sim,sim,um ano,sim,transferência bancária (automática),116.3,8309.55,3.88
0187-QSXOE,não,masculino,1,sim,não,7,sim,não,fibra ótica,não,não,não,não,sim,sim,mensal,sim,cheque eletrônico,89.0,605.45,2.97
0187-WZNAB,não,feminino,0,sim,sim,27,sim,não,fibra ótica,sim,não,não,não,não,não,mensal,não,cheque postal,74.4,1972.35,2.48
0188-GWFLE,não,masculino,0,não,não,2,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,20.05,33.7,0.67
0191-EQUUH,não,feminino,0,não,sim,25,não,sem serviço telefônico,dsl,sim,não,não,sim,não,não,dois anos,não,transferência bancária (automática),35.05,844.45,1.17
0191-ZHSKZ,não,masculino,1,não,não,30,sim,não,dsl,sim,sim,não,não,sim,sim,mensal,sim,cheque eletrônico,74.75,2111.3,2.49
0193-ESZXP,sim,feminino,1,sim,não,58,sim,não,fibra ótica,sim,sim,não,sim,sim,sim,um ano,sim,cartão de crédito (automático),105.5,6205.5,3.52
0195-IESCP,sim,masculino,0,sim,não,10,sim,sim,fibra ótica,não,não,não,não,não,sim,mensal,sim,cheque eletrônico,85.25,855.3,2.84
0196-JTUQI,não,feminino,0,não,não,9,sim,sim,fibra ótica,não,não,não,não,não,não,mensal,sim,cartão de crédito (automático),75.2,633.85,2.51
0196-VULGZ,sim,feminino,1,sim,não,6,sim,sim,fibra ótica,não,não,não,não,não,sim,mensal,sim,cheque eletrônico,84.35,474.9,2.81
0197-PNKNK,não,feminino,0,sim,sim,69,sim,sim,fibra ótica,sim,não,sim,não,não,não,um ano,não,transferência bancária (automática),84.45,5848.6,2.82
0201-MIBOL,não,feminino,1,não,não,66,sim,sim,fibra ótica,sim,não,não,não,sim,sim,dois anos,sim,transferência bancária (automática),102.4,6471.85,3.41
0201-OAMXR,sim,feminino,0,não,não,70,sim,sim,fibra ótica,sim,sim,sim,sim,sim,sim,um ano,não,cartão de crédito (automático),115.55,8127.6,3.85
0203-HHYIJ,sim,masculino,0,não,não,25,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,transferência bancária (automática),25.3,676.35,0.84
0206-OYVOC,não,feminino,0,sim,sim,46,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,sim,cheque postal,19.25,864.2,0.64
0206-TBWLC,não,feminino,0,sim,não,54,sim,sim,fibra ótica,sim,sim,sim,sim,sim,sim,um ano,sim,cheque postal,114.65,6049.5,3.82
0207-MDKNV,sim,feminino,0,não,não,15,sim,não,fibra ótica,sim,não,sim,sim,sim,sim,mensal,não,cheque eletrônico,105.1,1582.75,3.5
0208-BPQEJ,não,feminino,0,sim,sim,12,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,transferência bancária (automática),19.4,198.1,0.65
0212-ISBBF,não,feminino,0,não,não,22,não,sem serviço telefônico,dsl,não,sim,não,não,sim,sim,mensal,sim,cheque eletrônico,50.35,1098.85,1.68
0214-JHPFW,não,feminino,0,sim,não,70,não,sem serviço telefônico,dsl,não,sim,sim,sim,sim,sim,dois anos,não,transferência bancária (automática),57.8,4039.3,1.93
0215-BQKGS,não,masculino,0,não,não,30,sim,não,fibra ótica,sim,sim,sim,não,não,não,mensal,sim,cartão de crédito (automático),84.3,2438.6,2.81
0218-QNVAS,não,masculino,0,sim,sim,71,sim,sim,fibra ótica,não,sim,não,não,sim,sim,um ano,não,transferência bancária (automática),100.55,7113.75,3.35
0219-QAERP,não,masculino,0,sim,não,30,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,cartão de crédito (automático),19.8,576.65,0.66
0219-YTZUE,sim,masculino,0,sim,sim,4,sim,sim,fibra ótica,não,sim,sim,não,não,não,mensal,sim,transferência bancária (automática),84.8,371.9,2.83
0220-EBGCE,sim,masculino,0,não,não,2,sim,não,fibra ótica,não,não,sim,não,não,sim,mensal,sim,cheque eletrônico,85.85,167.3,2.86
0221-NAUXK,não,masculino,0,não,sim,10,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,sim,transferência bancária (automática),19.95,219.5,0.66
0221-WMXNQ,não,masculino,1,não,não,4,sim,não,fibra ótica,sim,não,não,não,não,não,mensal,não,cheque eletrônico,75.35,273.4,2.51
0222-CNVPT,não,masculino,1,não,não,52,não,sem serviço telefônico,dsl,sim,não,não,não,sim,sim,mensal,sim,cartão de crédito (automático),48.8,2555.05,1.63
0224-HJAPT,sim,masculino,0,não,não,5,sim,sim,dsl,não,não,não,não,não,não,mensal,não,cheque eletrônico,47.15,223.15,1.57
0224-NIJLP,não,masculino,0,sim,sim,8,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cheque postal,20.15,165.5,0.67
0224-RLWWD,não,feminino,1,não,não,2,sim,não,dsl,não,não,não,não,não,não,mensal,sim,cheque eletrônico,44.3,89.3,1.48
0225-ZORZP,não,masculino,0,não,não,3,sim,não,fibra ótica,não,sim,não,não,não,sim,mensal,não,cheque eletrônico,84.3,235.05,2.81
0228-MAUWC,não,masculino,0,não,não,19,sim,sim,dsl,não,não,sim,sim,não,não,mensal,não,cheque eletrônico,59.55,1144.6,1.98
0229-LFJAF,não,masculino,0,não,não,72,sim,sim,dsl,sim,sim,sim,sim,não,não,dois anos,não,transferência bancária (automática),69.65,4908.25,2.32
0230-UBYPQ,não,masculino,1,sim,não,63,não,sem serviço telefônico,dsl,sim,não,não,sim,não,não,um ano,não,transferência bancária (automática),36.1,2298.9,1.2
0230-WEQUW,não,masculino,0,sim,não,66,não,sem serviço telefônico,dsl,sim,sim,sim,sim,sim,não,dois anos,sim,transferência bancária (automática),56.6,3789.2,1.89
0231-LXVAP,sim,masculino,0,não,não,1,sim,não,fibra ótica,não,não,não,sim,não,não,mensal,sim,cheque eletrônico,75.9,75.9,2.53
0233-FTHAV,não,feminino,0,não,não,60,sim,sim,fibra ótica,não,não,sim,não,não,não,um ano,sim,transferência bancária (automática),79.2,4765.0,2.64
0234-TEVTT,não,feminino,0,sim,sim,48,não,sem serviço telefônico,dsl,sim,não,sim,não,não,sim,um ano,não,cartão de crédito (automático),45.0,2196.3,1.5
0235-KGSLC,sim,feminino,0,não,não,1,sim,não,fibra ótica,não,não,sim,não,sim,não,mensal,sim,cartão de crédito (automático),85.55,85.55,2.85
0236-HFWSV,sim,masculino,0,não,não,15,sim,sim,fibra ótica,não,não,não,não,sim,sim,mensal,sim,cheque eletrônico,93.35,1444.65,3.11
0237-YFUTL,não,feminino,0,sim,não,50,sim,sim,fibra ótica,sim,sim,não,sim,sim,sim,mensal,sim,transferência bancária (automática),109.65,5405.8,3.66
0238-WHBIQ,não,masculino,0,sim,sim,72,sim,sim,dsl,sim,sim,sim,sim,sim,sim,dois anos,não,cartão de crédito (automático),89.7,6339.3,2.99
0239-OXEXL,não,feminino,0,não,não,46,sim,sim,fibra ótica,sim,sim,não,não,não,não,mensal,não,cheque postal,84.25,3847.6,2.81
0244-LGNFY,não,feminino,0,sim,sim,72,sim,sim,dsl,sim,sim,sim,sim,sim,sim,dois anos,não,transferência bancária (automática),92.65,6733.0,3.09
0247-SLUJI,não,masculino,0,sim,sim,1,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,19.7,19.7,0.66
0248-IPDFW,não,feminino,0,não,não,1,sim,sim,dsl,não,não,não,não,não,não,mensal,sim,cheque eletrônico,50.1,50.1,1.67
0248-PGHBZ,não,feminino,1,não,não,67,sim,não,fibra ótica,sim,sim,não,sim,sim,não,dois anos,sim,transferência bancária (automática),92.45,6140.85,3.08
0253-ZTEOB,não,feminino,0,sim,sim,48,sim,sim,dsl,não,sim,não,sim,sim,sim,dois anos,não,cheque eletrônico,79.65,3870.3,2.66
0254-FNMCI,não,feminino,0,não,não,72,sim,não,fibra ótica,sim,sim,sim,sim,sim,sim,dois anos,sim,cheque eletrônico,109.9,7624.2,3.66
0254-KCJGT,não,masculino,0,sim,não,52,sim,sim,dsl,sim,sim,sim,sim,não,sim,um ano,sim,cartão de crédito (automático),81.4,4354.45,2.71
0254-WWRKD,não,feminino,0,sim,sim,67,sim,não,dsl,não,sim,não,não,não,não,um ano,não,cartão de crédito (automático),50.55,3431.75,1.68
0256-LTHVJ,sim,feminino,0,sim,sim,28,sim,não,fibra ótica,não,não,não,não,não,sim,mensal,sim,cheque eletrônico,81.05,2227.1,2.7
0257-KXZGU,não,feminino,0,sim,sim,32,sim,sim,dsl,não,sim,sim,não,não,não,mensal,não,transferência bancária (automática),62.45,2045.55,2.08
0257-ZESQC,sim,feminino,1,sim,não,27,sim,não,fibra ótica,sim,não,não,não,não,não,mensal,sim,transferência bancária (automática),75.2,1929.35,2.51
0258-NOKBL,não,masculino,0,não,não,3,sim,não,fibra ótica,não,sim,sim,não,não,sim,mensal,não,cheque eletrônico,90.4,268.45,3.01
